ontology,comparison,mean,sd,n,ci_low,ci_high,reject_h0
iic-bctt-ss,iic_power_vs_not_in_largest_mcs,0.9038838254081809,0.14858367894309607,100,0.8744015999593844,0.9333660508569774,True
iic-bctt-ss,iic_power_vs_random,0.9405817473045158,0.11452720020363431,100,0.9178570660983376,0.963306428510694,True
iic-bctt-ss,iic_power_vs_weakening,0.7135109694155898,0.2754571498145474,100,0.6588542948058194,0.7681676440253602,True
iic-co-wheat-ss,iic_power_vs_not_in_largest_mcs,0.6190936951440741,0.2129995432462702,100,0.5768299647051327,0.6613574255830155,True
iic-co-wheat-ss,iic_power_vs_random,0.9897624376109103,0.07032176080336872,100,0.9758090746257654,1.0037158005960554,True
iic-co-wheat-ss,iic_power_vs_weakening,0.6685159545731529,0.2359724602715553,100,0.6216938989953157,0.7153380101509902,True
iic-hom-ss,iic_power_vs_not_in_largest_mcs,0.8741725059495965,0.16998264164761634,100,0.8404442620463325,0.9079007498528605,True
iic-hom-ss,iic_power_vs_random,0.9463577178974885,0.09123256049377726,100,0.9282551985906499,0.964460237204327,True
iic-hom-ss,iic_power_vs_weakening,0.8237434911833884,0.2299130949935537,100,0.7781237451355977,0.8693632372311791,True
iic-pe-ss,iic_power_vs_not_in_largest_mcs,0.7219207670133895,0.2465905490469298,100,0.6729918522613975,0.7708496817653815,True
iic-pe-ss,iic_power_vs_random,0.9738461715113127,0.10926749159874358,100,0.9521651306025574,0.995527212420068,True
iic-pe-ss,iic_power_vs_weakening,0.6827643444027067,0.23969757277328832,100,0.6352031456876189,0.7303255431177945,True
iic-taxrank-ss,iic_power_vs_not_in_largest_mcs,0.8028808985904173,0.27779257580412486,100,0.7477608247968774,0.8580009723839572,True
iic-taxrank-ss,iic_power_vs_random,0.9919433394705173,0.05005004229675857,100,0.9820123252352327,1.001874353705802,True
iic-taxrank-ss,iic_power_vs_weakening,0.8409347337689769,0.29427953087758946,100,0.7825432904017557,0.899326177136198,True
overall,iic_power_vs_random,0.968498282758949,0.09252750185288047,500,0.960368319618549,0.976628245899349,True
overall,iic_power_vs_not_in_largest_mcs,0.7843903384211317,0.2393542292348587,500,0.7633593906249583,0.8054212862173051,True
overall,iic_power_vs_weakening,0.7458938986687631,0.2653333643508394,500,0.722580284566001,0.7692075127715252,True
